gmDate,seasonYR,teamAbbr,teamLoc,teamRslt,teamDayOff,teamTO,teamPF,teamFGA,teamFGM,teamFTA,teamFTM,teamORB,teamDRB,teamEFG%,teamTREB%,teamTO%,teamFT%
2012-11-18,2012,HOU,0,0,2,15,22,90,44,18,11,11,31,53.89,50.6024,13.2837,61.11
2012-11-18,2012,LAL,1,1,2,13,15,85,46,28,18,9,32,59.41,49.3976,11.7839,64.29
2012-11-19,2012,MIL,0,0,2,14,27,93,44,11,8,9,30,48.39,46.988,12.5179,72.73
2012-11-19,2012,CHA,1,1,2,17,14,82,36,30,27,11,33,45.73,53.012,15.1515,90.0
2012-11-19,2012,IND,0,1,1,21,27,70,34,29,25,8,38,50.71,56.0976,20.239,86.21
2012-11-19,2012,WAS,1,0,2,10,27,87,31,31,23,14,22,37.93,43.9024,9.0383,74.19
2012-11-19,2012,ORL,0,0,1,19,19,82,31,14,8,11,44,39.02,53.3981,17.7305,57.14
2012-11-19,2012,ATL,1,1,3,15,18,89,34,13,8,11,37,41.01,46.6019,13.6712,61.54
2012-11-19,2012,DEN,0,1,2,17,15,81,36,28,20,21,26,47.53,58.75,15.4097,71.43
2012-11-19,2012,MEM,1,0,2,17,20,78,36,17,14,12,21,50.0,41.25,16.5886,82.35
2012-11-19,2012,LAC,0,1,2,17,20,85,40,19,11,17,35,47.65,55.3191,15.4041,57.89
2012-11-19,2012,SA,1,0,2,14,19,82,29,28,23,13,29,39.02,44.6809,12.9247,82.14
2012-11-19,2012,GS,0,1,1,21,24,91,37,30,22,19,43,45.6,59.0476,16.7732,73.33
2012-11-19,2012,DAL,1,0,2,17,22,86,37,24,17,7,36,48.84,40.9524,14.9701,70.83
2012-11-19,2012,HOU,0,0,1,14,22,86,30,31,24,15,34,38.95,47.1154,12.3196,77.42
2012-11-19,2012,UTA,1,1,2,14,23,92,37,23,19,14,41,45.11,52.8846,12.0565,82.61
2012-11-20,2012,TOR,0,0,2,11,20,82,37,29,20,12,36,47.56,53.9326,10.4009,68.97
2012-11-20,2012,PHI,1,1,2,8,23,85,40,19,17,9,32,52.35,46.0674,7.8927,89.47
2012-11-20,2012,NY,0,1,2,10,20,83,37,19,14,13,36,53.01,57.6471,9.8658,73.68
2012-11-20,2012,NO,1,0,3,13,21,69,29,21,14,5,31,47.83,42.3529,14.2481,66.67
2012-11-20,2012,BKN,0,0,2,14,26,82,34,21,15,14,32,45.73,51.6854,13.3029,71.43
2012-11-20,2012,LAL,1,1,2,11,18,73,35,37,19,8,35,52.05,48.3146,10.9693,51.35
2012-11-21,2012,PHI,0,0,1,7,16,86,31,22,17,11,28,38.37,41.4894,6.8173,77.27
2012-11-21,2012,CLE,1,1,3,18,14,86,35,14,9,15,40,48.26,58.5106,16.3399,64.29
2012-11-21,2012,NO,0,0,1,9,26,92,39,27,23,16,32,45.65,49.4845,7.9731,85.19
2012-11-21,2012,IND,1,1,2,9,24,92,40,28,20,17,32,51.63,50.5155,7.9421,71.43
2012-11-21,2012,DET,0,0,3,15,16,85,28,22,15,13,35,34.71,47.5248,13.6761,68.18
2012-11-21,2012,ORL,1,1,2,15,23,83,36,18,13,9,44,46.39,52.4752,14.1616,72.22
2012-11-21,2012,TOR,0,0,1,14,25,80,37,20,14,9,27,51.88,49.3151,13.6187,70.0
2012-11-21,2012,CHA,1,1,2,14,21,86,36,28,23,9,28,43.6,50.6849,12.4644,82.14
2012-11-21,2012,MIL,0,0,2,11,21,109,46,12,9,16,31,44.5,46.5347,8.7803,75.0
2012-11-21,2012,MIA,1,1,4,17,13,86,41,33,23,12,42,52.33,53.4653,14.4656,69.7
2012-11-21,2012,LAC,0,0,2,15,27,93,40,33,24,17,28,46.77,50.5618,12.2429,72.73
2012-11-21,2012,OKC,1,1,3,19,24,79,36,39,34,12,32,52.53,49.4382,16.4988,87.18
2012-11-21,2012,SA,0,1,2,18,17,77,45,19,14,6,35,63.64,62.1212,17.4149,73.68
2012-11-21,2012,BOS,1,0,3,12,18,77,41,17,15,1,24,55.19,37.8788,12.4378,88.24
2012-11-21,2012,WAS,0,0,2,23,27,89,38,24,17,19,39,46.63,61.0526,18.7663,70.83
2012-11-21,2012,ATL,1,1,2,14,25,92,40,21,12,10,27,48.37,38.9474,12.1486,57.14
2012-11-21,2012,CHI,0,0,3,15,22,95,38,19,11,16,32,41.05,51.6129,12.6732,57.89
2012-11-21,2012,HOU,1,1,2,23,18,74,32,31,22,10,35,47.97,48.3871,20.7881,70.97
2012-11-21,2012,DEN,0,1,2,20,24,79,35,26,22,14,35,50.0,52.1277,18.1094,84.62
2012-11-21,2012,MIN,1,0,5,15,21,89,34,25,16,17,28,43.82,47.8723,13.0435,64.0
2012-11-21,2012,NY,0,0,1,14,17,77,39,22,18,5,32,60.39,46.8354,13.9054,81.82
2012-11-21,2012,DAL,1,1,2,14,18,85,42,21,17,11,31,57.06,53.1646,12.9342,80.95
2012-11-21,2012,POR,0,0,3,22,21,77,31,26,20,13,19,43.51,47.7612,19.9203,76.92
2012-11-21,2012,PHO,1,1,4,13,18,77,46,18,15,7,28,64.29,52.2388,13.2761,83.33
2012-11-21,2012,LAL,0,0,1,20,22,65,29,39,27,6,27,53.85,44.5946,19.5771,69.23
2012-11-21,2012,SAC,1,1,3,17,27,81,44,22,18,9,32,58.64,55.4054,15.7875,81.82
2012-11-21,2012,BKN,0,0,1,11,16,83,38,15,11,14,21,49.4,44.8718,10.9344,73.33
2012-11-21,2012,GS,1,1,2,16,17,75,40,19,15,12,31,58.0,55.1282,16.1031,78.95
2012-11-23,2012,CLE,0,0,2,13,24,87,37,30,22,17,21,47.13,51.3514,11.4841,73.33
2012-11-23,2012,ORL,1,1,2,18,30,80,40,20,17,12,24,56.88,48.6486,16.8539,85.0
2012-11-23,2012,ATL,0,1,2,22,18,78,42,14,6,7,34,60.9,53.2468,20.7234,42.86
2012-11-23,2012,CHA,1,0,2,15,15,83,31,26,21,7,29,42.17,46.7532,13.7061,80.77
2012-11-23,2012,LAC,0,0,2,20,22,72,29,22,14,17,28,43.06,56.25,19.6696,63.64
2012-11-23,2012,BKN,1,1,2,16,22,73,34,19,13,11,24,50.0,43.75,16.4339,68.42
2012-11-23,2012,TOR,0,0,2,11,23,78,32,25,20,9,28,44.87,44.5783,11.0,80.0
2012-11-23,2012,DET,1,1,2,15,22,78,36,26,15,15,31,48.72,55.4217,14.3623,57.69
2012-11-23,2012,OKC,0,0,2,17,23,79,37,24,20,8,32,50.63,52.6316,15.9535,83.33
2012-11-23,2012,BOS,1,1,2,16,23,80,39,24,21,8,28,54.38,47.3684,15.015,87.5
2012-11-23,2012,NY,0,0,2,16,21,86,37,14,12,6,24,52.91,37.9747,14.7929,85.71
2012-11-23,2012,HOU,1,1,2,14,17,89,46,28,25,11,38,59.55,62.0253,12.1401,89.29
2012-11-23,2012,LAL,0,0,2,18,28,74,33,24,20,11,17,52.7,41.791000000000004,17.5507,83.33
2012-11-23,2012,MEM,1,1,4,17,26,75,38,30,24,13,26,54.67,58.208999999999996,16.1597,80.0
2012-11-23,2012,SA,0,1,2,10,21,83,41,22,20,6,31,50.6,43.0233,9.738999999999999,90.91
2012-11-23,2012,IND,1,0,2,14,23,92,38,21,14,19,30,45.11,56.9767,12.1486,66.67
2012-11-23,2012,NO,0,0,2,19,24,78,40,18,15,6,35,59.62,53.9474,18.109,83.33
2012-11-23,2012,PHO,1,1,2,10,19,90,44,19,12,10,25,55.0,46.0526,9.2285,63.16
2012-11-23,2012,SAC,0,0,2,14,23,80,40,16,12,6,25,56.25,41.8919,13.8559,75.0
2012-11-23,2012,UTA,1,1,4,11,22,83,36,33,29,17,26,45.18,58.1081,10.1364,87.88
2012-11-23,2012,GS,0,0,2,14,30,80,35,18,14,8,37,48.13,53.5714,13.7363,77.78
2012-11-23,2012,DEN,1,1,2,12,18,84,40,30,17,11,28,50.6,46.4286,10.989,56.67
2012-11-23,2012,MIN,0,0,2,14,21,78,32,37,28,17,30,42.95,58.75,12.9294,75.68
2012-11-23,2012,POR,1,1,2,12,26,78,42,18,8,6,27,60.9,41.25,12.2549,44.44
2012-11-24,2012,CHA,0,1,1,17,33,83,34,36,28,5,35,48.19,43.0108,14.6754,77.78
2012-11-24,2012,WAS,1,0,3,20,28,93,34,39,32,18,35,39.78,56.9892,15.3657,82.05
2012-11-24,2012,LAC,0,0,1,15,22,75,32,25,21,7,30,48.0,48.6842,14.8515,84.0
2012-11-24,2012,ATL,1,1,1,19,18,75,38,26,21,8,31,55.33,51.3158,18.0197,80.77
2012-11-24,2012,OKC,0,1,1,12,20,88,39,37,32,18,24,47.73,49.4118,10.3199,86.49
2012-11-24,2012,PHI,1,0,3,16,28,91,45,17,12,12,31,53.3,50.5882,13.9762,70.59
2012-11-24,2012,CLE,0,0,1,11,29,79,35,33,24,10,22,53.16,45.0704,10.5243,72.73
